ID	user	tweet	datetime	cleantweet	hashtags	likes	QT	reply	RT	compound	sentiment_category
1850214903946109059	bakerman_2024	"'@elonmusk No fan of #Trump - but seeing how the left-wing media &amp; politicians in #Germany glorify ""holy savior"" #Harris and pouring out vials of wrath and hatred on Trump &amp; supporters, I have to cross my fingers for the #Republicans. That election is also important for a liberal Europe. https://t.co/9RrAJsvpQr'"	2024-10-26 16:36:23	elonmusk fan trump seeing leftwing media amp politicians germany glorify holy savior harris pouring vials wrath hatred supporters cross fingers republicans election also important liberal europe	#Trump #Germany #Harris #Republicans	0	0	0	0	0.6705	positive
1850215096376865275	RealRepublicUSA	'🌮SURPRISE: #Trump crushing #Harris in new #Hispanic voter Ispos/Reuters poll. The numbers don't lie, Trump is in a much better position than in 2020. 👇 https://t.co/G9unlrxRXd'	2024-10-26 16:37:08	surprise trump crushing harris new hispanic voter isposreuters poll numbers dont lie much better position	#Trump #Harris #Hispanic	1	1	0	0	-0.4226	negative
1850215256565703027	bluez_bitguy	'@CryptoAmb Do you concern if #Harris did it ?'	2024-10-26 16:37:47	cryptoamb concern harris	#Harris	6	0	0	0	0.0	neutral
1850215373108322460	stretch1	'@POTUS “Put billionaires first?!?” Um, did you look at your &amp; commie-LAs bank statements lately? Hippocrate 🤪🤡 #Harris #DemocratsHateAmerica #DemocratsAreDestroyingAmerica'	2024-10-26 16:38:14	potus put billionaires first um look amp commielas bank statements lately hippocrate harris democrats hate america destroying	#Harris #DemocratsHateAmerica #DemocratsAreDestroyingAmerica	0	0	0	0	-0.8074	negative
1850215374849028284	il_Bernasconi	'@jacopo_iacoboni In effetti una vittoria della #Harris sarebbe una sciagura per il mondo intero, ed è giusto dirlo 😆'	2024-10-26 16:38:15	jacopoiacoboni effetti una vittoria della harris sarebbe sciagura per il mondo intero ed giusto dirlo	#Harris	0	0	0	0	0.0	neutral
1850215420097105920	annesainte1	'@BFMTV #Beyoncé à toujours porté malheur aux candidats comme #Clinton Donc #Harris sera battue'	2024-10-26 16:38:26	bfmtv beyonc toujours port malheur aux candidats comme clinton donc harris sera battue	#Beyoncé #Clinton #Harris	0	0	0	0	0.0	neutral
1850215423351922821	hakana	'🔹#Harris’in en büyük hatası Pensilvanya valisi Shapiro yerine kendisinden daha vasat bir profil olan Walz’i muavin olarak seçmesi oldu. 🔹Tam tersi hareket etmiş olsa Pensilvanya’da tam 19 delegeyi garantileyecekti. Şu anda işi zora sokmuş durumda.'	2024-10-26 16:38:26	harrisin en byk hatas pensilvanya valisi shapiro yerine kendisinden daha vasat bir profil olan walzi muavin olarak semesi oldu tam tersi hareket etmi olsa pensilvanyada delegeyi garantileyecekti u anda ii zora sokmu durumda	#Harris	1	0	0	0	0.0	neutral
1850215586468339744	KCMagazine	'#Trump brought stability to the #MiddleEast. #Harris and #Biden has brought chaos and war. Vote for Trump to bring peace to the region.'	2024-10-26 16:39:05	trump brought stability middle east harris biden chaos war vote bring peace region	#Trump #MiddleEast #Harris #Biden	8	0	0	4	-0.6249	negative
1850215629279973759	brianjgriffinjr	''She is winning': Why Dowd believes Harris will claim victory despite de... https://t.co/3jjP60ZhtN via @YouTube My answer for Musk. Kamala is 3 points up in non-partisan poles in Battleground states. Gamblers put money on it and go vote! #pennsylvania #America #Wisconsin #NYC'	2024-10-26 16:39:16	winning dowd believes harris claim victory despite de via youtube answer musk kamala points nonpartisan poles battleground states gamblers put money go vote pennsylvania america wisconsin n c	#pennsylvania #America #Wisconsin #NYC	0	0	0	0	0.1779	positive
1850215630815064519	chooseidentity	'@BillEaster10 If your cup is full, may it be again. If your cup is empty, I will share. If your life is so privileged that your cup has never been empty that doesn’t absolve you for letting your neighbors thirst. I like your 🧵 #Harris #Community'	2024-10-26 16:39:16	billeaster cup full may empty share life privileged never doesnt absolve letting neighbors thirst like harris community	#Harris #Community	1	0	1	0	0.7548	positive
1850215693846823274	KiwiiSj	'Voter Fraud in #Pennsylvania @realDonaldTrump @JDVance You need your #Lawyers on this!! #LUFC #viral2024 https://t.co/aDFdaBOnls'	2024-10-26 16:39:31	voter fraud pennsylvania realdonaldtrump jdvance need lawyers l u f c viral	#Pennsylvania #Lawyers #LUFC #viral2024	0	0	1	0	-0.5859	negative
1850215904874819918	Toni85814074	'POGA TN-Man made bridge after #Helene disaster! #MAGA #MAHA #USA #Texas #Oklahoma #Pennsylvania #Iowa #Ohio #Colorado #Mississippi #Georgia #Virginia #WestVirginia #NorthCarolina #Tennessee #Florida #Utah #NewYork #UnitedStates #NorthAmerica'	2024-10-26 16:40:21	poga tnman made bridge helene disaster g h u texas oklahoma pennsylvania iowa ohio colorado mississippi georgia virginia west north carolina tennessee florida utah new york united states america	#Helene #MAGA #MAHA #USA #Texas #Oklahoma #Pennsylvania #Iowa #Ohio #Colorado #Mississippi #Georgia #Virginia #WestVirginia #NorthCarolina #Tennessee #Florida #Utah #NewYork #UnitedStates #NorthAmerica	1	0	0	0	-0.3182	negative
1850215966505849281	JoeMpez	'Get out and VOTE! We need to offset all the scams, fraud, &amp; disgusting people. People have already been caught cheating!! #Electionresult #EleccionesPR2024 #Presidentialelection #Trump2024 #Trump2024TheLastStand #Trump2024Vance #Harris_Walz2024'	2024-10-26 16:40:36	get vote need offset scams fraud amp disgusting people already caught cheating electionresult elecciones p r presidentialelection trump last stand vance harris walz	#Electionresult #EleccionesPR2024 #Presidentialelection #Trump2024 #Trump2024TheLastStand #Trump2024Vance #Harris_Walz2024	0	0	0	0	-0.9393	negative
1850215976714854772	wrenaissanceman	'Don't believe everything you see. #ViralVideo of ripped-up #Pennsylvania #ballots is #fake and #Russian-made, intelligence agencies say. #Russia #RussianDisinformation https://t.co/jvqmf8j8Ku'	2024-10-26 16:40:38	dont believe everything see viral video rippedup pennsylvania ballots fake russianmade intelligence agencies say russia russian disinformation	#ViralVideo #Pennsylvania #ballots #fake #Russian #Russia #RussianDisinformation	0	0	0	0	0.0	neutral
1850215986873401495	ocean_7sea	"'""American politicians raped little American girls so that the Mossad agents can video record for blackmailing the politicians."" #BREAKING #BreakingNews #BreakingBad #BreakingNow #PresidentialElection2024 #Presidentialelection #PresidentialDebate2024 #DemocraticParty #Republican'"	2024-10-26 16:40:41	american politicians raped little girls mossad agents video record blackmailing b r e k n g breaking news bad presidential election presidentialelection debate democratic party republican	#BREAKING #BreakingNews #BreakingBad #BreakingNow #PresidentialElection2024 #Presidentialelection #PresidentialDebate2024 #DemocraticParty #Republican	0	0	1	0	-0.7506	negative
1850215994171564395	simplesoulin	'#USA #Rogan #Trump #Harris #AIPAC'	2024-10-26 16:40:43	u rogan trump harris p c	#USA #Rogan #Trump #Harris #AIPAC	0	0	0	0	0.0	neutral
1850216072261275973	europamoonx	'#Beyoncé urges Americans to 'sing a new song' at #Harris rally https://t.co/zQ2XZs6Ib7 強力♪'	2024-10-26 16:41:01	beyonc urges americans sing new song harris rally	#Beyoncé #Harris	0	0	0	0	0.0	neutral
1850216147871838454	lacetexas2	'What Bullshit! Trump Issues First Call to Arms Over Election Fraud Conspiracies #Voterfraud #Presidentialelection https://t.co/cT4b5qdHOy'	2024-10-26 16:41:19	bullshit trump issues first call arms election fraud conspiracies voterfraud presidentialelection	#Voterfraud #Presidentialelection	0	0	0	0	-0.8225	negative
